Chave_Parcela_Idade;Talhao;Parcela;Idade_meses;Area_parc;Cova;Fuste;Fila;Viva;Falha;dap;altura;Dom;Hd;dg;Gi;G;treino;altura_reta;altura_parabola;altura_curtis;altura_stofells;altura_hericksen;altura_gompertz;altura_logistico;altura_chapman_richards;Estrato
PR1T1-2-59;PR1T1;2;59;249.3;3;1;1;1;0;17.8;21.3;N;21.13333333;17.30823503;0.024884555;7.550281742;1;21.0575733868358;21.08092025078379;20.422771432790594;20.844511052026576;20.882348409367903;19.919115614502054;21.075179050935322;21.031958206490557;PR1T1
PR1T1-3-38;PR1T1;3;38;289.3;5;1;1;1;0;15.1;17.9;N;19.33333333;15.36336552;0.017907864;6.407877107;1;19.017346428695625;18.89554717450431;19.195470156058498;19.050349645220543;19.226158922095333;18.80100916142609;18.891999917419234;19.10567411572118;PR1T1
PR1T1-2-72;PR1T1;2;72;249.3;3;1;1;1;0;19.0;23.1;N;22.96666667;18.50249983;0.028352874;8.628164324;1;21.964340923786985;22.119913900006296;20.874775888456906;21.601998065358657;21.53917653913303;20.34336759637856;22.121728946065854;21.84861685785765;PR1T1
PR1T1-2-72;PR1T1;2;72;249.3;2;1;1;1;0;21.4;23.6;D;22.96666667;18.50249983;0.035968094;8.628164324;1;23.77787599768936;24.32291669340198;21.648980316782918;23.054666362362173;22.73676018690274;21.073685289391385;24.366534255662454;23.420062835152525;PR1T1
PR1T1-3-59;PR1T1;3;59;289.3;1;1;1;1;0;15.3;20.3;N;21.6;16.94089726;0.018385386;7.791377826;1;19.168474351520825;19.05019196864129;19.298266771466746;19.187991888303557;19.358631806076414;18.89212007926211;19.045926495771763;19.253037057315947;PR1T1
PR1T1-2-29;PR1T1;2;29;249.3;2;1;1;1;0;16.4;14.3;D;15.55414522;13.11398744;0.021124069;4.876178994;1;19.999677927059412;19.92142955835991;19.827345419409287;19.930898157692546;20.057623701388774;19.368978288542074;19.91442554701427;20.04961855055142;PR1T1
PR1T1-4-72;PR1T1;4;72;326.32;2;1;1;1;0;10.4;17.8;N;23.83333333;15.2566379;0.008494867;7.843174948;1;15.465840242303475;15.59462447162715;15.959046506060272;15.534542468709677;15.471989940488019;16.239166263957777;15.60281406547197;15.367198008194498;PR1T1
PR1T1-2-38;PR1T1;2;38;249.3;3;1;1;1;0;15.0;18.9;N;18.46666667;14.99121965;0.017671459;6.372121489;1;18.941782467283026;18.818658859015507;19.14325490767722;18.981218977181907;19.159263035274392;18.75493403638952;18.815488370465058;19.031688069547126;PR1T1
PR1T1-5-29;PR1T1;5;29;251.21;6;1;1;1;0;11.8;15.70556483;N;18.04313545;15.07769876;0.010935884;7.107601699;1;16.52373570207986;16.5110294794247;17.122773217027742;16.645924198040753;16.743489141140547;17.08939857204833;16.51953852720515;16.543388254206715;PR1T1
PR1T1-4-38;PR1T1;4;38;326.32;9;3;2;1;0;10.6;16.0;N;19.6;13.31438535;0.008824734;5.973329462;1;15.616968165128672;15.722066820103565;16.1386805692659;15.697288059767288;15.663763242106295;16.365262438112502;15.730679452358261;15.539090710676613;PR1T1
PR1T1-2-29;PR1T1;2;29;249.3;13;1;3;1;0;14.5;17.06243566;D;15.55414522;13.11398744;0.016512996;4.876178994;1;18.56396266022003;18.4385580973684;18.873661968974307;18.632388828906674;18.817949199247906;18.519302558896797;18.437404355427034;18.658634137987953;PR1T1
PR1T1-2-29;PR1T1;2;29;249.3;4;1;1;1;0;13.1;16.36691566;N;15.55414522;13.11398744;0.013478218;4.876178994;1;17.506067200443646;17.412764531489;18.034653596047175;17.62551566494694;17.79570145461048;17.811717921758202;17.417483436231695;17.58449072269615;PR1T1
PR1T1-3-48;PR1T1;3;48;289.3;4;1;1;1;0;18.0;20.9;D;21.16666667;16.41042352;0.0254469;7.311071421;1;21.208701309660995;21.25119198178961;20.50157517875931;20.97232941232732;20.994838897257832;19.992761964869295;21.246231817362133;21.169624183590045;PR1T1
PR1T1-3-72;PR1T1;3;72;289.3;10;1;2;1;0;19.3;24.1;N;24.83333333;17.59249366;0.029255296;10.08271521;1;22.191032808024783;22.386173536007266;20.980405774325696;21.78795388072211;21.696899774128948;20.442994622876416;22.391072139062192;22.049393784572583;PR1T1
PR1T1-2-72;PR1T1;2;72;249.3;6;1;2;1;0;17.0;20.8;N;22.96666667;18.50249983;0.022698007;8.628164324;1;20.453061695535006;20.41140883555225;20.092358658722308;20.326607472133507;20.41937976560704;19.612307686536692;20.404138736956984;20.474733743027365;PR1T1
PR1T1-3-72;PR1T1;3;72;289.3;6;1;1;1;0;13.5;19.3;N;24.83333333;17.59249366;0.014313882;10.08271521;1;17.808323046094042;17.700060653058678;18.288081587071307;17.91796669776749;18.098515075743762;18.021203439345477;17.703173841017943;17.89606760525729;PR1T1
PR1T1-3-48;PR1T1;3;48;289.3;2;1;1;1;0;16.9;18.9;N;21.16666667;16.41042352;0.022431757;7.311071421;1;20.377497734122407;20.329022153387378;20.049257671338236;20.261100488430245;20.359982579012616;19.57255282260438;20.321721020064793;20.40432031867009;PR1T1
PR1T1-1-29;PR1T1;1;29;265.54;4;1;1;1;0;10.9;15.22603284;N;16.94684487;12.45896598;0.009331316;5.50941106;1;15.84366004936647;15.91540075071664;16.39929489699117;15.938821634214873;15.944743169580317;16.551506739255654;15.92439040927488;15.79441973854446;PR1T1
PR1T1-4-29;PR1T1;4;29;326.32;9;2;2;1;0;10.9;15.22603284;N;17.5393771;12.50522748;0.009331316;5.269354502;1;15.84366004936647;15.91540075071664;16.39929489699117;15.938821634214873;15.944743169580317;16.551506739255654;15.92439040927488;15.79441973854446;PR1T1
PR1T1-5-38;PR1T1;5;38;251.21;9;1;2;1;0;16.7;22.9;N;23.5;16.9871193;0.021903969;8.119605725;1;20.22636981129721;20.165116952217012;19.96179268408971;20.129557672840836;20.240126473875474;19.49208816270378;20.15784766470591;20.262970999953282;PR1T1
PR1T1-4-38;PR1T1;4;38;326.32;6;1;1;1;0;9.7;15.3;N;19.6;13.31438535;0.007389811;5.973329462;1;14.93689251241528;15.157691965133177;15.290248416824097;14.953449307720266;14.770466858757413;15.785665495269438;15.16320006737476;14.754438334482526;PR1T1
PR1T1-1-29;PR1T1;1;29;265.54;6;2;1;1;0;9.0;14.09928869;N;16.94684487;12.45896598;0.006361725;5.50941106;1;14.407944782527089;14.734939456909073;14.552244784978193;14.353030646754972;14.016375923317813;15.31334799796845;14.735654574980256;14.122977417232935;PR1T1
PR1T1-3-38;PR1T1;3;38;289.3;4;1;1;1;0;17.0;19.1;D;19.33333333;15.36336552;0.022698007;6.407877107;1;20.453061695535006;20.41140883555225;20.092358658722308;20.326607472133507;20.41937976560704;19.612307686536692;20.404138736956984;20.474733743027365;PR1T1
PR1T1-3-48;PR1T1;3;48;289.3;1;1;1;1;0;14.5;19.9;N;21.16666667;16.41042352;0.016512996;7.311071421;1;18.56396266022003;18.4385580973684;18.873661968974307;18.632388828906674;18.817949199247906;18.519302558896797;18.437404355427034;18.658634137987953;PR1T1
PR1T1-3-48;PR1T1;3;48;289.3;13;1;2;1;0;18.5;21.1;D;21.16666667;16.41042352;0.026880252;7.311071421;1;21.58652111672399;21.681935594400535;20.692377779624056;21.289090738786502;21.2706861231547;20.17168496994188;21.679729943291473;21.5110308665837;PR1T1
PR1T1-4-38;PR1T1;4;38;326.32;1;1;1;1;0;17.0;18.9;D;19.6;13.31438535;0.022698007;5.973329462;1;20.453061695535006;20.41140883555225;20.092358658722308;20.326607472133507;20.41937976560704;19.612307686536692;20.404138736956984;20.474733743027365;PR1T1
PR1T1-4-59;PR1T1;4;59;326.32;9;1;2;1;0;14.8;19.5;N;21.06666667;14.56402123;0.017203361;7.147214747;1;18.79065454445783;18.665750391197285;19.037147778549077;18.842328506157873;19.02412283271219;18.661736988515194;18.66336328576635;18.88309720192547;PR1T1
PR1T1-4-72;PR1T1;4;72;326.32;5;1;1;1;0;14.7;20.5;N;23.83333333;15.2566379;0.016971669;7.843174948;1;18.715090583045228;18.589730238867862;18.983238274347787;18.772564586585087;18.955866341263796;18.614612132043632;18.587747567872206;18.808488436471865;PR1T1
PR1T1-4-59;PR1T1;4;59;326.32;4;1;1;1;0;15.1;19.7;N;21.06666667;14.56402123;0.017907864;7.147214747;1;19.017346428695625;18.89554717450431;19.195470156058498;19.050349645220543;19.226158922095333;18.80100916142609;18.891999917419234;19.10567411572118;PR1T1
PR1T1-3-59;PR1T1;3;59;289.3;7;1;1;1;0;19.1;21.7;D;21.6;16.94089726;0.02865211;7.791377826;1;22.039904885199586;22.208377724286827;20.910295010889776;21.664130110195035;21.5920259724365;20.37685491070225;22.211162238187523;21.915688189538574;PR1T1
PR1T1-4-72;PR1T1;4;72;326.32;6;1;1;1;0;11.0;17.2;N;23.83333333;15.2566379;0.009503318;7.843174948;1;15.919224010779068;15.980424169693919;16.483897160817364;16.018661990521906;16.036687132123642;16.612815061328313;15.989474653622274;15.878877534870854;PR1T1
PR1T1-1-29;PR1T1;1;29;265.54;24;1;4;1;0;14.2;16.9138173;D;16.94684487;12.45896598;0.015836769;5.50941106;1;18.337270775982233;18.213970293017653;18.704762335926823;18.42047266421843;18.607465004821037;18.373667553641607;18.214093917395193;18.432229439417718;PR1T1
PR1T1-4-29;PR1T1;4;29;326.32;13;1;2;1;0;15.2;17.40963059;D;17.5393771;12.50522748;0.018145839;5.269354502;1;19.092910390108223;18.972724877712903;19.247137983986573;19.119273290300978;19.29261324869052;18.846737339039542;18.968812259732772;19.17945648023874;PR1T1
PR1T1-3-72;PR1T1;3;72;289.3;8;1;2;1;0;17.1;22.3;N;24.83333333;17.59249366;0.022965828;10.08271521;1;20.528625656947607;20.494084905436917;20.135046577565436;20.391940180745987;20.478428579602408;19.651746529478316;20.486878690626657;20.544974943299387;PR1T1
PR1T1-2-48;PR1T1;2;48;249.3;6;1;2;1;0;15.0;18.1;N;19.4;16.52993917;0.017671459;7.747340126;1;18.941782467283026;18.818658859015507;19.14325490767722;18.981218977181907;19.159263035274392;18.75493403638952;18.815488370465058;19.031688069547126;PR1T1
PR1T1-3-29;PR1T1;3;29;289.3;3;1;1;1;0;12.5;14.9;N;17.92552277;14.24756119;0.012271846;5.510899737;1;17.052683431968052;16.99050198072828;17.631531812759516;17.179144327570867;17.32368717329095;17.48628852505579;16.997312994733285;17.10959642927774;PR1T1
PR1T1-3-38;PR1T1;3;38;289.3;1;1;1;1;0;13.6;18.1;N;19.33333333;15.36336552;0.014526724;6.407877107;1;17.88388700750664;17.77260815275058;18.34963944834762;17.9904637593505;18.172816475164534;18.072651049788515;17.775303014667667;17.973358765154344;PR1T1
PR1T1-1-29;PR1T1;1;29;265.54;2;1;1;1;0;13.2;16.1;N;16.94684487;12.45896598;0.013684778;5.50941106;1;17.581631161856244;17.48415448030173;18.09911440045316;17.699003231236603;17.872262994107086;17.864645775372797;17.48848417259398;17.66275192293276;PR1T1
PR1T1-4-29;PR1T1;4;29;326.32;14;1;2;1;0;15.8;17.7085007;D;17.5393771;12.50522748;0.01960668;5.269354502;1;19.54629415858382;19.44186823908013;19.546107042122966;19.52857615290155;19.682382979253155;19.113906171900748;19.436064757610588;19.617977374254995;PR1T1
PR1T1-4-59;PR1T1;4;59;326.32;9;2;2;1;0;11.9;17.9;N;21.06666667;14.56402123;0.011122023;7.147214747;1;16.59929966349246;16.578657387880117;17.19817085049442;16.722959009335217;16.82844993163173;17.147241867762627;16.58698490983294;16.625114688711434;PR1T1
PR1T1-2-59;PR1T1;2;59;249.3;4;1;1;1;0;19.1;21.3;D;21.13333333;17.30823503;0.02865211;7.550281742;1;22.039904885199586;22.208377724286827;20.910295010889776;21.664130110195035;21.5920259724365;20.37685491070225;22.211162238187523;21.915688189538574;PR1T1
PR1T1-3-72;PR1T1;3;72;289.3;13;1;2;1;0;20.4;24.9;D;24.83333333;17.59249366;0.03268513;10.08271521;1;23.02223638356337;23.384741722434917;21.34518122474285;22.458847782807094;22.254955627590483;20.78745917445434;23.405857567370987;22.774703608724042;PR1T1
PR1T1-4-38;PR1T1;4;38;326.32;10;1;2;1;0;11.5;16.6;N;19.6;13.31438535;0.010386891;5.973329462;1;16.297043817842063;16.309882080377207;16.890812072428716;16.413027613092872;16.484218317313406;16.9135670050579;16.318793729909824;16.29646225253331;PR1T1
PR1T1-4-72;PR1T1;4;72;326.32;7;1;1;1;0;15.2;21.0;N;23.83333333;15.2566379;0.018145839;7.843174948;1;19.092910390108223;18.972724877712903;19.247137983986573;19.119273290300978;19.29261324869052;18.846737339039542;18.968812259732772;19.17945648023874;PR1T1
PR1T1-2-29;PR1T1;2;29;249.3;6;1;2;1;0;12.3;15.9630928;N;15.55414522;13.11398744;0.011882289;4.876178994;1;16.901555509142856;16.85206289889972;17.49059595105763;17.02820714022441;17.161299879874704;17.37479467171353;16.85945414897849;16.949200281613432;PR1T1
PR1T1-2-48;PR1T1;2;48;249.3;13;1;3;1;0;18.1;19.4;D;19.4;16.52993917;0.025730429;7.747340126;1;21.284265271073597;21.33676192887221;20.540435427405193;21.03599736009751;21.0506162915898;20.029136486317537;21.332258622467105;21.23821828467915;PR1T1
PR1T1-4-38;PR1T1;4;38;326.32;13;1;2;1;0;16.4;19.8;D;19.6;13.31438535;0.021124069;5.973329462;1;19.999677927059412;19.92142955835991;19.827345419409287;19.930898157692546;20.057623701388774;19.368978288542074;19.91442554701427;20.04961855055142;PR1T1
PR1T1-2-72;PR1T1;2;72;249.3;7;1;2;1;0;17.6;21.3;N;22.96666667;18.50249983;0.024328494;8.628164324;1;20.906445464010602;20.91180607065715;20.342489993037493;20.716040625390182;20.76858681562116;19.844261065563725;20.905452807267757;20.89364672731801;PR1T1
PR1T1-4-59;PR1T1;4;59;326.32;5;1;1;1;0;14.5;19.4;N;21.06666667;14.56402123;0.016512996;7.147214747;1;18.56396266022003;18.4385580973684;18.873661968974307;18.632388828906674;18.817949199247906;18.519302558896797;18.437404355427034;18.658634137987953;PR1T1
PR1T1-4-38;PR1T1;4;38;326.32;8;1;2;1;0;14.0;18.3;N;19.6;13.31438535;0.015393804;5.973329462;1;18.186142853157037;18.06569202871612;18.589024100315676;18.278067196099524;18.46465702281315;18.274781280225966;18.06667737322619;18.280185606457536;PR1T1
PR1T1-2-48;PR1T1;2;48;249.3;5;1;1;1;0;16.0;18.5;N;19.4;16.52993917;0.020106193;7.747340126;1;19.697422081409016;19.600564461294216;19.641745305930268;19.663440261908153;19.809023566345953;19.200257112104484;19.594272134312714;19.76260405281251;PR1T1
PR1T1-2-38;PR1T1;2;38;249.3;10;1;2;1;0;11.2;15.5;N;18.46666667;14.99121965;0.009852035;6.372121489;1;16.070351933604265;16.111339170807856;16.649822996616887;16.177362894088848;16.218093732370644;16.734272972279037;16.120419804955755;16.04684035353959;PR1T1
